"applno","appltype","applpublicnotes","sponsorname","tecode"
18807,"NDA",,"B BRAUN",
18810,"NDA",,"THEPHARMANETWORK LLC",
18812,"NDA",,"TEVA",
18813,"NDA",,"SCHERING",
18814,"NDA",,"BAXTER HLTHCARE",
18817,"NDA",,"GD SEARLE LLC",
18818,"NDA",,"MUTUAL PHARM",
18821,"NDA",,"ROBINS AH",
18823,"NDA",,"WEST-WARD PHARMS INT",
18826,"NDA",,"HOSPIRA",
18827,"NDA",,"MERCK SHARP DOHME",
18828,"NDA",,"MYLAN PHARMS INC",
18829,"NDA",,"CHARTWELL MOLECULES",
18830,"NDA",,"CNTY LINE PHARMS",
18831,"NDA",,"HOSPIRA",
18832,"NDA",,"WATSON LABS",
18833,"NDA",,"BAYER PHARMS",
18839,"NDA",,"ROACO",
18840,"NDA",,"BAXTER HLTHCARE",
18841,"NDA",,"GD SEARLE",
18843,"NDA",,"GRAHAM DM",
18844,"NDA",,"GRAHAM DM",
18845,"NDA",,"CHARTWELL MOLECULES",
18849,"NDA",,"CNTY LINE PHARMS",
18851,"NDA",,"HERITAGE PHARMS INC",
18852,"NDA",,"WATSON LABS",
18854,"NDA",,"WATSON LABS",
18856,"NDA",,"LYNE",
18858,"NDA",,"MYLAN",
18859,"NDA",,"VALEANT PHARM INTL",
18860,"NDA",,"PHARMADERM",
18861,"NDA",,"FOUGERA PHARMS INC",
18862,"NDA",,"SAVAGE LABS",
18863,"NDA",,"SAVAGE LABS",
18864,"NDA",,"PHARMADERM",
18865,"NDA",,"FOUGERA PHARMS INC",
18866,"NDA",,"FOUGERA PHARMS INC",
18867,"NDA",,"SAVAGE LABS",
18868,"NDA",,"KALAPHARM",
18869,"NDA",,"BAYER PHARMS",
18870,"NDA",,"PHARMADERM",
18871,"NDA",,"ORTHO MCNEIL PHARM",
18872,"NDA",,"NOVARTIS",
18873,"NDA",,"BOEHRINGER INGELHEIM",
18874,"NDA",,"ABBVIE",
18875,"NDA",,"ABBOTT",
18876,"NDA",,"ICU MEDICAL INC",
18877,"NDA",,"WATSON LABS",
18878,"NDA",,"RECORDATI RARE",
18883,"NDA",,"FRESENIUS MEDCL",
18885,"NDA",,"NOVARTIS",
18887,"NDA",,"KING PHARMS LLC",
18888,"NDA",,"MEDTECH PRODUCTS",
18889,"NDA",,"ABBOTT",
18890,"NDA",,"HOSPIRA",
18891,"NDA",,"BOEHRINGER INGELHEIM",
18892,"NDA",,"HOSPIRA",
18893,"NDA",,"HOSPIRA",
18894,"NDA",,"G AND W LABS INC",
18895,"NDA",,"HOSPIRA",
18896,"NDA",,"HOSPIRA",
18897,"NDA",,"HOSPIRA",
18899,"NDA",,"B BRAUN",
18900,"NDA",,"B BRAUN",
18901,"NDA",,"HOSPIRA",
18902,"NDA",,"FRESENIUS KABI USA",
18904,"NDA",,"HOSPIRA",
18905,"NDA",,"GUERBET",
18907,"NDA",,"WEST-WARD PHARMS INT",
18911,"NDA",,"HOSPIRA",
18916,"NDA",,"HOSPIRA",
18917,"NDA",,"PROMIUS PHARMA",
18920,"NDA",,"HOSPIRA",
18921,"NDA",,"BAXTER HLTHCARE",
18922,"NDA",,"WYETH PHARMS INC",
18923,"NDA",,"ABBOTT",
18924,"NDA",,"HOSPIRA",
18925,"NDA",,"EXELA PHARMA SCS LLC",
18926,"NDA",,"GD SEARLE LLC",
18927,"NDA",,"NOVARTIS",
18928,"NDA",,"FISONS",
18930,"NDA",,"CHARTWELL MOLECULES",
18931,"NDA",,"BAXTER HLTHCARE",
18932,"NDA",,"TEVA WOMENS",
18933,"NDA",,"TELIGENT PHARMA INC",
18934,"NDA",,"YAOPHARMA CO LTD",
18935,"NDA",,"SCHWARZ PHARMA",
18936,"NDA",,"ELI LILLY AND CO",
18938,"NDA",,"FERRING PHARMS INC",
18946,"NDA",,"HEATHER",
18947,"NDA",,"HOSPIRA",
18948,"NDA",,"LEADIANT BIOSCI INC",
18954,"NDA",,"ABBOTT",
18956,"NDA",,"GE HEALTHCARE",
18959,"NDA",,"HOSPIRA",
18960,"NDA",,"HOSPIRA",
18961,"NDA",,"HOSPIRA",
18962,"NDA",,"HOSPIRA",
18963,"NDA",,"BRACCO",
18965,"NDA",,"ATNAHS PHARMA US",
18967,"NDA",,"B BRAUN",
18969,"NDA",,"HOSPIRA",
18970,"NDA",,"HOSPIRA",
18972,"NDA",,"WYETH PHARMS INC",
18976,"NDA",,"AUXILIUM PHARMS LLC",
18977,"NDA",,"MAYNE PHARMA",
18983,"NDA",,"MYLAN SPECIALITY LP",
18985,"NDA",,"JANSSEN PHARMS",
18986,"NDA",,"MERIDIAN MEDCL TECHN",
18988,"NDA",,"NOVARTIS",
18989,"NDA",,"PFIZER",
18991,"NDA",,"HOSPIRA",
18996,"NDA",,"GLAXOSMITHKLINE",
18997,"NDA",,"HOSPIRA",
18998,"NDA",,"VALEANT PHARMS NORTH",
19001,"NDA",,"MEDPOINTE PHARM HLC",
19002,"NDA",,"JOHNSON AND JOHNSON",
19004,"NDA",,"ORTHO MCNEIL PHARM",
19005,"NDA",,"ABBOTT",
19006,"NDA",,"B BRAUN",
19008,"NDA",,"HOSPIRA INC",
19009,"NDA",,"VALEANT PHARMS",
19010,"NDA",,"ABBVIE ENDOCRINE INC",
19011,"NDA",,"BRAINTREE",
19012,"NDA",,"J AND J CONSUMER INC",
19014,"NDA",,"PARKE DAVIS",
19018,"NDA",,"B BRAUN",
19022,"NDA",,"BAXTER HLTHCARE",
19024,"NDA",,"B BRAUN",
19025,"NDA",,"B BRAUN",
19028,"NDA",,"3M",
19029,"NDA",,"LNK",
19030,"NDA",,"HOSPIRA",
19032,"NDA",,"PROMIUS PHARMA",
19033,"NDA",,"HOSPIRA",
19034,"NDA",,"FRESENIUS KABI USA",
19036,"NDA",,"ABRAXIS PHARM",
19037,"NDA",,"JANSSEN PHARMS",
19038,"NDA",,"GD SEARLE LLC",
19039,"NDA",,"PHARMALUCENCE",
19042,"NDA",,"B BRAUN",
19044,"NDA",,"GE HEALTHCARE",
19046,"NDA",,"SCHERING",
19047,"NDA",,"BAXTER HLTHCARE",
19048,"NDA",,"GALDERMA LABS LP",
19049,"NDA",,"VALEANT BERMUDA",
19050,"NDA",,"AKORN",
19055,"NDA",,"XTTRIUM",
19057,"NDA",,"ABBOTT",
19058,"NDA",,"ASTRAZENECA",
19059,"NDA",,"WYETH AYERST",
19065,"NDA",,"NOVO NORDISK INC",
19069,"NDA",,"BAYER PHARMS",
19071,"NDA",,"MISSION PHARMA",
19077,"NDA",,"B BRAUN",
19079,"NDA",,"NOVARTIS PHARMS CORP",
19080,"NDA",,"ABBOTT",
19081,"NDA",,"NOVARTIS",
19082,"NDA",,"ASTRAZENECA",
19083,"NDA",,"B BRAUN",
19084,"NDA",,"JANSSEN PHARMA",
19085,"NDA",,"BOEHRINGER INGELHEIM",
19090,"NDA",,"TELIGENT",
19091,"NDA",,"PROMIUS PHARMA",
19099,"NDA",,"B BRAUN",
19101,"NDA",,"WEST-WARD PHARMS INT",
19106,"NDA",,"YAMANOUCHI",
19107,"NDA",,"GENENTECH",
19111,"NDA",,"UCB INC",
19112,"NDA",,"GLAXOSMITHKLINE",
19115,"NDA",,"HOSPIRA",
19116,"NDA",,"PRECISION DERMAT",
19117,"NDA",,"TARO",
19118,"NDA",,"ABBOTT",
19119,"NDA",,"ABBOTT",
19120,"NDA",,"ABBOTT",
19121,"NDA",,"B BRAUN",
19123,"NDA",,"UPSHER-SMITH LABS",
19125,"NDA",,"XTTRIUM",
19127,"NDA",,"XTTRIUM",
19129,"NDA",,"MYLAN PHARMS INC",
19130,"NDA",,"MCGAW",
19134,"NDA",,"B BRAUN",
19135,"NDA",,"B BRAUN",
19136,"NDA",,"PHARMADERM",
19137,"NDA",,"FOUGERA PHARMS",
19138,"NDA",,"SAVAGE LABS",
19140,"NDA",,"PHARMADERM",
19141,"NDA",,"FOUGERA PHARMS INC",
19143,"NDA",,"SAVAGE LABS",
19151,"NDA",,"GLAXOSMITHKLINE LLC",
19152,"NDA",,"PFIZER",
19155,"NDA",,"SUN PHARM INDS INC",
19157,"NDA",,"SETON PHARM",
19174,"NDA",,"GLAXOSMITHKLINE",
19183,"NDA",,"ALLERGAN SALES LLC",
19185,"NDA",,"ABBOTT",
19188,"NDA",,"UCB INC",
19190,"NDA",,"WYETH PHARMS INC",
19192,"NDA",,"WYETH PHARMS",
19193,"NDA",,"METHAPHARM",
19194,"NDA",,"ATON",
19201,"NDA",,"NOVARTIS",
19204,"NDA",,"ABBVIE",
19211,"NDA",,"HOSPIRA INC",
19212,"NDA",,"B BRAUN",
19215,"NDA",,"ROCHE PALO",
19216,"NDA",,"ALLERGAN",
19217,"NDA",,"ICU MEDICAL INC",
19218,"NDA",,"ABBOTT",
19219,"NDA",,"ALLERGAN",
19221,"NDA",,"VALEANT INTL",
19222,"NDA",,"ICU MEDICAL INC",
19228,"NDA",,"ABRAXIS PHARM",
19229,"NDA",,"ABRAXIS PHARM",
19240,"NDA",,"BECTON DICKINSON",
19243,"NDA",,"SCHERING",
19257,"NDA",,"LEADIANT BIOSCI INC",
19258,"NDA",,"ECOLAB",
19259,"NDA",,"PHARMACIA AND UPJOHN",
19260,"NDA",,"PHARMACIA AND UPJOHN",
19261,"NDA",,"AKORN",
19264,"NDA",,"FRESENIUS KABI USA",
19268,"NDA",,"GD SEARLE LLC",
19269,"NDA",,"GLAXOSMITHKLINE",
19270,"NDA",,"SANDOZ INC",
19271,"NDA",,"ABRAXIS PHARM",
19279,"NDA",,"ROBINS AH",
19280,"NDA",,"PHARMACIA AND UPJOHN",
19281,"NDA",,"PHARMACIA AND UPJOHN",
19284,"NDA",,"HOSPIRA",
19287,"NDA",,"PHARMACIA AND UPJOHN",
19292,"NDA",,"LIEBEL-FLARSHEIM",
19297,"NDA",,"EMD SERONO",
19304,"NDA",,"ABBVIE",
19308,"NDA",,"BAXTER HLTHCARE",
19309,"NDA",,"BIOVAIL LABS INTL",
19316,"NDA",,"FRESENIUS KABI USA",
19319,"NDA",,"BAXTER HLTHCARE",
19322,"NDA",,"FOUGERA PHARMS",
19323,"NDA",,"FOUGERA PHARMS",
19326,"NDA",,"BAXTER HLTHCARE",
19329,"NDA",,"ABRAXIS PHARM",
19334,"NDA",,"SOMERSET",
19339,"NDA",,"HOSPIRA",
19345,"NDA",,"ICU MEDICAL INC",
19346,"NDA",,"HOSPIRA",
19350,"NDA",,"ABRAXIS PHARM",
19353,"NDA",,"AKORN",
19356,"NDA",,"SEBELA IRELAND LTD",
19357,"NDA",,"QOL MEDCL",
19358,"NDA",,"ROCHE",
19359,"NDA",,"ROCHE PALO",
19367,"NDA",,"BAXTER HLTHCARE",
19368,"NDA",,"ETHITEK",
19369,"NDA",,"ROCHE",
19374,"NDA",,"ICU MEDICAL INC",
19377,"NDA",,"LILLY",
19381,"NDA",,"NOVARTIS",
19382,"NDA",,"CLINIPAD",
19383,"NDA",,"SCHERING",
19384,"NDA",,"MERCK",
19385,"NDA",,"VALEANT PHARM INTL",
19386,"NDA",,"BAXTER HLTHCARE",
19387,"NDA",,"ALCON",
19389,"NDA",,"GLAXOSMITHKLINE",
19395,"NDA",,"FRESENIUS MEDCL",
19398,"NDA",,"ICU MEDICAL INC",
19399,"NDA",,"ABBOTT",
19400,"NDA",,"ABBOTT",
19401,"NDA",,"UCB INC",
19404,"NDA",,"ALLERGAN",
19407,"NDA",,"JOHNSON AND JOHNSON",
19408,"NDA",,"SCHERING",
19412,"NDA",,"WARNER CHILCOTT",
19414,"NDA",,"BRACCO",
19415,"NDA",,"SERONO",
19416,"NDA",,"ICU MEDICAL INC",
19421,"NDA",,"XTTRIUM",
19422,"NDA",,"XTTRIUM",
19425,"NDA",,"SEBELA IRELAND LTD",
19428,"NDA",,"CENT PHARMS",
19429,"NDA",,"ALLERGAN SALES LLC",
19430,"NDA",,"MYLAN SPECIALITY LP",
19432,"NDA",,"IMP",
19434,"NDA",,"GLAXOSMITHKLINE",
19435,"NDA",,"GLAXOSMITHKLINE",
19436,"NDA",,"SANOFI AVENTIS US",
19437,"NDA",,"ICU MEDICAL INC",
19438,"NDA",,"ICU MEDICAL INC",
19439,"NDA",,"SCHERING",
19440,"NDA",,"PFIZER",
19441,"NDA",,"NOVO NORDISK INC",
19443,"NDA",,"ABBOTT",
19445,"NDA",,"HOSPIRA",
19449,"NDA",,"NOVO NORDISK INC",
19450,"NDA",,"NOVO NORDISK INC",
19451,"NDA",,"NOVARTIS",
19452,"NDA",,"HILL DERMAC",
19453,"NDA",,"SCHERING PLOUGH",
19456,"NDA",,"LEO PHARM",
19462,"NDA",,"VALEANT PHARMS NORTH",
19463,"NDA",,"ATON",
19465,"NDA",,"HOSPIRA",
19466,"NDA",,"HOSPIRA",
19471,"NDA",,"BIOVAIL",
19476,"NDA",,"BECTON DICKINSON",
19478,"NDA",,"BAYER PHARMS",
19479,"NDA",,"HOSPIRA",
19480,"NDA",,"HOSPIRA",
19481,"NDA",,"UNITED GUARDIAN",
19482,"NDA",,"ABBOTT",
19483,"NDA",,"ABBOTT",
19484,"NDA",,"ABBOTT",
19485,"NDA",,"ABBOTT",
19486,"NDA",,"ABBOTT",
19487,"NDA",,"J AND J CONSUMER INC",
19488,"NDA",,"CHIESI USA INC",
19489,"NDA",,"GLAXOSMITHKLINE",
19490,"NDA",,"KENDALL IL",
19491,"NDA",,"ABBOTT",
19492,"NDA",,"ICU MEDICAL INC",
19493,"NDA",,"ABBOTT",
19498,"NDA",,"SANOFI AVENTIS US",
19500,"NDA",,"NOVARTIS",
19501,"NDA",,"JOHNSON AND JOHNSON",
19503,"NDA",,"PARNELL",
19504,"NDA",,"ABBOTT",
19505,"NDA",,"ABBOTT",
19506,"NDA",,"ABBOTT",
19507,"NDA",,"SANOFI AVENTIS US",
19508,"NDA",,"SMITHKLINE BEECHAM",
19510,"NDA",,"MERCK",
19513,"NDA",,"ICU MEDICAL INC",
19514,"NDA",,"HOSPIRA",
19515,"NDA",,"HOSPIRA",
19516,"NDA",,"PURDUE PHARMA LP",
19518,"NDA",,"CHESEBROUGH PONDS",
19520,"NDA",,"BAXTER HLTHCARE",
19522,"NDA",,"ALLEGIANCE HLTHCARE",
19523,"NDA",,"HOSPIRA",
19525,"NDA",,"ALLERGAN",
19527,"NDA",,"SALIX PHARMS",
19529,"NDA",,"LILLY",
19530,"NDA",,"B BRAUN",
19531,"NDA",,"B BRAUN",
19532,"NDA",,"LANNETT CO INC",
19536,"NDA",,"WYETH AYERST",
19537,"NDA",,"BAYER HLTHCARE",
19543,"NDA",,"MERCK SHARP DOHME",
19545,"NDA",,"MGI PHARMA INC",
19546,"NDA",,"SMITHKLINE BEECHAM",
19548,"NDA",,"SANOFI AVENTIS US",
19555,"NDA",,"MERCK SHARP DOHME",
19557,"NDA",,"DAVA PHARMS INC",
19558,"NDA",,"MERCK",
19561,"NDA",,"KV PHARM",
19564,"NDA",,"ABBOTT",
19565,"NDA",,"ABBOTT",
19568,"NDA",,"VALEANT PHARMS NORTH",
19569,"NDA",,"MISSION PHARMA",
19571,"NDA",,"LILLY",
19574,"NDA",,"CASPER PHARMA LLC",
19578,"NDA",,"US ARMY WALTER REED",
19579,"NDA",,"JANSSEN PHARMS",
19580,"NDA",,"BAYER HLTHCARE",
19583,"NDA",,"SMITHKLINE BEECHAM",
19585,"NDA",,"BAYER PHARMS",
19589,"NDA",,"SCHERING",
19591,"NDA",,"ROCHE",
19593,"NDA",,"TELIGENT",
19594,"NDA",,"ALLERGAN SALES LLC",
19596,"NDA",,"BAYER HLTHCARE",
19599,"NDA",,"SEBELA IRELAND LTD",
19600,"NDA",,"DOW PHARM",
19603,"NDA",,"ICU MEDICAL INC",
19604,"NDA",,"MURO",
19608,"NDA",,"FRANKLIN PHARMS",
19614,"NDA",,"RECRO GAINESVILLE",
19615,"NDA",,"BAXTER HLTHCARE",
19616,"NDA",,"SANOFI AVENTIS US",
19617,"NDA",,"PHARMACIA AND UPJOHN",
19618,"NDA",,"MYLAN SPECIALITY LP",
19621,"NDA",,"GLAXOSMITHKLINE",
19625,"NDA",,"MERCK SHARP DOHME",
19626,"NDA",,"B BRAUN",
19627,"NDA",,"FRESENIUS KABI USA",
19630,"NDA",,"B BRAUN",
19631,"NDA",,"B BRAUN",
19632,"NDA",,"B BRAUN",
19633,"NDA",,"B BRAUN",
19634,"NDA",,"B BRAUN",
19635,"NDA",,"B BRAUN",
19638,"NDA",,"ORGANON USA INC",
19640,"NDA",,"LILLY",
19641,"NDA",,"JANSSEN PHARMS",
19643,"NDA",,"MERCK",
19645,"NDA",,"ROCHE PALO",
19647,"NDA",,"UT SW MEDCTR",
19649,"NDA",,"SUN PHARM INDS INC",
19650,"NDA",,"FOREST LABS",
19651,"NDA",,"APIL",
19653,"NDA",,"JANSSEN PHARMS",
19655,"NDA",,"VIIV HLTHCARE",
19658,"NDA",,"BAYER HEALTHCARE LLC",
19660,"NDA",,"KING PHARMS LLC",
19661,"NDA",,"ROCHE PALO",
19667,"NDA",,"NOVARTIS",
19668,"NDA",,"PFIZER",
19669,"NDA",,"BRISTOL MYERS",
19670,"NDA",,"BAYER HEALTHCARE LLC",
19672,"NDA",,"ALZA",
19675,"NDA",,"GLAXO GRP LTD",
19676,"NDA",,"GENENTECH",
19677,"NDA",,"MYLAN INSTITUTIONAL",
19678,"NDA",,"MYLAN INSTITUTIONAL",
19680,"NDA",,"ABBVIE",
19681,"NDA",,"HOSPIRA",
19682,"NDA",,"HOSPIRA INC",
19683,"NDA",,"HOSPIRA INC",
19684,"NDA",,"PFIZER",
19685,"NDA",,"ICU MEDICAL INC",
19686,"NDA",,"ICU MEDICAL INC",
19687,"NDA",,"FERRING",
19691,"NDA",,"ICU MEDICAL INC",
19693,"NDA",,"LILLY",
19696,"NDA",,"B BRAUN",
19697,"NDA",,"JANSSEN PHARMS",
19698,"NDA",,"ROCHE PALO",
19699,"NDA",,"B BRAUN",
19700,"NDA",,"ALLERGAN",
19708,"NDA",,"B BRAUN",
19710,"NDA",,"LIEBEL-FLARSHEIM",
19711,"NDA",,"B BRAUN",
19712,"NDA",,"ABBOTT",
19713,"NDA",,"ABBOTT",
19714,"NDA",,"ABBOTT",
19715,"NDA",,"MYLAN SPECIALITY LP",
19716,"NDA",,"MERCK SHARP DOHME",
19717,"NDA",,"LILLY",
19718,"NDA",,"B BRAUN",
19721,"NDA",,"NOVO NORDISK INC",
19722,"NDA",,"PAR PHARM",
19726,"NDA",,"TERSERA THERAPS LLC",
19729,"NDA",,"ASTELLAS",
19732,"NDA",,"ABBVIE ENDOCRINE INC",
19734,"NDA",,"CHIESI USA INC",
19735,"NDA",,"JANSSEN PHARMS",
19737,"NDA",,"GALDERMA LABS LP",
19746,"NDA",,"ALZA",
19753,"NDA",,"SHIRE",
19757,"NDA",,"MERCK",
19758,"NDA",,"HERITAGE LIFE",
19759,"NDA",,"HOSPIRA",
19762,"NDA",,"ALZA",
19763,"NDA",,"BAXTER HLTHCARE",
19764,"NDA",,"EMD SERONO",
19766,"NDA",,"MSD MERCK CO",
19771,"NDA",,"PFIZER",
19773,"NDA",,"GLAXOSMITHKLINE",
19774,"NDA",,"FERRING",
19775,"NDA",,"PFIZER",
19776,"NDA",,"FERRING",
19777,"NDA",,"ALVOGEN MALTA",
19778,"NDA",,"MERCK",
19779,"NDA",,"NOVARTIS PHARMS CORP",
19781,"NDA",,"VIRTUS PHARMS",
19784,"NDA",,"ABBOTT",
19785,"NDA",,"LANTHEUS MEDCL",
19786,"NDA",,"NOVARTIS",
19787,"NDA",,"PFIZER",
19790,"NDA",,"AUXILIUM PHARMS LLC",
19793,"NDA",,"CAREFUSION 2200",
19794,"NDA",,"ABBOTT",
19795,"NDA",,"ALLERGAN SALES LLC",
19796,"NDA",,"MERCK SHARP DOHME",
19797,"NDA",,"BRAINTREE",
19798,"NDA",,"SANOFI AVENTIS US",
19802,"NDA",,"B BRAUN",
19805,"NDA",,"HOSPIRA",
19806,"NDA",,"AUXILIUM PHARMS LLC",
19807,"NDA",,"SANOFI AVENTIS US",
19810,"NDA",,"ASTRAZENECA PHARMS",
19813,"NDA",,"JANSSEN PHARMS",
19814,"NDA",,"ALLERGAN",
19815,"NDA",,"SHIRE LLC",
19816,"NDA",,"WYETH PHARMS INC",
19817,"NDA",,"BOEHRINGER INGELHEIM",
19818,"NDA",,"LEADIANT BIOSCI INC",
19819,"NDA",,"YAMANOUCHI",
19821,"NDA",,"STIEFEL LABS INC",
19822,"NDA",,"GRIFFEN",
19824,"NDA",,"MEDIMETRIKS PHARMS",
19826,"NDA",,"B BRAUN",
19828,"NDA",,"FOUGERA PHARMS",
19829,"NDA",,"GE HEALTHCARE",
19830,"NDA",,"B BRAUN",
19832,"NDA",,"MYLAN INSTITUTIONAL",
19833,"NDA",,"WYETH CONS",
19834,"NDA",,"ASTRAZENECA",
19835,"NDA",,"J AND J CONSUMER INC",
19836,"NDA",,"SHIRE",
19837,"NDA",,"BAXTER HLTHCARE",
19839,"NDA",,"PFIZER",
19841,"NDA",,"MALLINKRODT NUCLEAR",
19842,"NDA",,"MCNEIL CONSUMER",
19843,"NDA",,"B BRAUN",
19844,"NDA",,"B BRAUN",
19845,"NDA",,"NOVARTIS PHARMS CORP",
19847,"NDA",,"BAYER HLTHCARE",
19849,"NDA",,"FERA PHARMS",
19851,"NDA",,"US PHARMS HOLDINGS I",
19853,"NDA",,"ATON",
19854,"NDA",,"MYLAN SPECIALITY LP",
19855,"NDA",,"MYLAN PHARMS INC",
19856,"NDA",,"MERCK SHARP DOHME",
19857,"NDA",,"BAYER HLTHCARE",
19858,"NDA",,"BAYER PHARMS",
19860,"NDA",,"J AND J CONSUMER INC",
19862,"NDA",,"GE HEALTHCARE",
19863,"NDA",,"EMD SERONO",
19864,"NDA",,"B BRAUN",
19865,"NDA",,"COVIS PHARMA BV",
19867,"NDA",,"B BRAUN",
19869,"NDA",,"ICU MEDICAL INC",
19870,"NDA",,"B BRAUN",
19872,"NDA",,"J AND J CONSUMER INC",
19873,"NDA",,"B BRAUN",
19879,"NDA",,"SANOFI AVENTIS US",
19880,"NDA",,"CORDEN PHARMA",
19881,"NDA",,"PERRIGO PHARMA INTL",
19882,"NDA",,"MALLINKRODT NUCLEAR",
19884,"NDA",,"BAXTER HLTHCARE",
19885,"NDA",,"PFIZER PHARMS",
19886,"NDA",,"GD SEARLE LLC",
19887,"NDA",,"FRESENIUS KABI USA",
19888,"NDA",,"ALVOGEN MALTA",
19890,"NDA",,"BRISTOL MYERS SQUIBB",
19891,"NDA",,"RHODES PHARMS",
19892,"NDA",,"RHODES PHARMS",
19893,"NDA",,"ICU MEDICAL INC",
19894,"NDA",,"ICU MEDICAL INC",
19897,"NDA",,"POPULATION COUNCIL",
19898,"NDA",,"BRISTOL MYERS SQUIBB",
19899,"NDA",,"J AND J CONSUMER INC",
19901,"NDA",,"KING PHARMS LLC",
19904,"NDA",,"BAXTER HLTHCARE",
19906,"NDA",,"SPECGX LLC",
19907,"NDA",,"BAUSCH AND LOMB",
19908,"NDA",,"SANOFI AVENTIS US",
19909,"NDA",,"MYLAN PHARMS INC",
19910,"NDA",,"VIIV HLTHCARE",
19912,"NDA",,"BLAIREX",
19915,"NDA",,"BRISTOL MYERS SQUIBB",
19916,"NDA",,"ICU MEDICAL INC",
19917,"NDA",,"ICU MEDICAL INC",
19918,"NDA",,"MEDTECH PRODUCTS",
19919,"NDA",,"MEDA PHARMS",
19921,"NDA",,"ALLERGAN",
19922,"NDA",,"HOSPIRA",
19926,"NDA",,"EISAI INC",
19927,"NDA",,"JANSSEN PHARMS",
19928,"NDA",,"BRACCO",
19931,"NDA",,"VALEANT PHARMS NORTH",
19933,"NDA",,"BAXTER HLTHCARE",
19937,"NDA",,"ASTELLAS",
19938,"NDA",,"NOVO NORDISK INC",
19940,"NDA",,"UNIV AZ CANCER CTR",
19941,"NDA",,"ACTAVIS LABS UT INC",
19942,"NDA",,"FRESENIUS",
19943,"NDA",,"ABBOTT LABS",
19946,"NDA",,"ABBVIE",
19949,"NDA",,"PFIZER",
19950,"NDA",,"PFIZER",
19951,"NDA",,"VIIV HLTHCARE",
19952,"NDA",,"B BRAUN",
19953,"NDA",,"B BRAUN",
19955,"NDA",,"FERRING PHARMS INC",
19957,"NDA",,"FOUGERA PHARMS",
19958,"NDA",,"FOUGERA PHARMS",
19959,"NDA",,"NOVO NORDISK INC",
19961,"NDA",,"CHAPTER 7 TRUSTEE",
19962,"NDA",,"ARALEZ PHARMS",
19963,"NDA",,"VALEANT PHARMS NORTH",
19964,"NDA",,"JANSSEN PHARMS",
19965,"NDA",,"NOVO NORDISK INC",
19966,"NDA",,"FOUGERA PHARMS",
19967,"NDA",,"SUN PHARM INDS INC",
19968,"NDA",,"SUN PHARM INDS INC",
19970,"NDA",,"BAXTER HLTHCARE",
19971,"NDA",,"DHL",
19972,"NDA",,"NOVARTIS",
19976,"NDA",,"FRESENIUS MEDCL",
19977,"NDA",,"XANODYNE PHARMS INC",
19978,"NDA",,"HOSPIRA",
19979,"NDA",,"ROCHE PALO",
19981,"NDA",,"MALLINKRODT NUCLEAR",
19982,"NDA",,"TEVA WOMENS",
19983,"NDA",,"AVEVA",
19991,"NDA",,"NOVO NORDISK INC",
19992,"NDA",,"NOVARTIS PHARMS CORP",
19998,"NDA",,"RECORDATI RARE",
19999,"NDA",,"MERIDIAN MEDCL TECHN",
20000,"NDA",,"B BRAUN",
20001,"NDA",,"GALDERMA LABS LP",
20002,"NDA",,"B BRAUN",
20004,"NDA",,"B BRAUN",
20005,"NDA",,"CHIESI USA INC",
20006,"NDA",,"B BRAUN",
20007,"NDA",,"NOVARTIS PHARMS CORP",
20010,"NDA",,"MERCK SHARP DOHME",
20011,"NDA",,"ABBVIE ENDOCRINE INC",
20013,"NDA",,"PHARMACIA",
20014,"NDA",,"MEDICIS",
20015,"NDA",,"ICU MEDICAL INC",
20021,"NDA",,"J AND J CONSUMER INC",
20027,"NDA",,"BIOVAIL LABS INTL",
20031,"NDA",,"APOTEX TECHNOLOGIES",
20032,"NDA",,"ABBVIE",
20033,"NDA",,"US PHARMS HOLDINGS I",
20035,"NDA",,"JANSSEN PHARMA",
20036,"NDA",,"NOVARTIS",
20037,"NDA",,"NOVARTIS",
20038,"NDA",,"GENZYME CORP",
20041,"NDA",,"ICU MEDICAL INC",
20044,"NDA",,"GLAXOSMITHKLINE",
20045,"NDA",,"BAYER HEALTHCARE LLC",
20047,"NDA",,"BAXTER HLTHCARE",
20049,"NDA",,"SHIRE",
20051,"NDA",,"PHARMACIA AND UPJOHN",
20055,"NDA",,"SANOFI AVENTIS US",
20056,"NDA",,"US ARMY",
20057,"NDA",,"GENZYME",
20058,"NDA",,"IMMUNEX",
20059,"NDA",,"ASTELLAS",
20062,"NDA",,"VALEANT INTL",
20063,"NDA",,"CADEMA",
20064,"NDA",,"ALVOGEN MALTA",
20065,"NDA",,"BAUSCH AND LOMB",
20066,"NDA",,"GLAXOSMITHKLINE",
20067,"NDA",,"ATNAHS PHARMA US",
20068,"NDA",,"CLINIGEN HLTHCARE",
20070,"NDA",,"SHIONOGI INC",
20071,"NDA",,"ORGANON USA INC",
20073,"NDA",,"HOFFMANN LA ROCHE",
20074,"NDA",,"SAGENT PHARMS",
20075,"NDA",,"SAOL THERAPS RES LTD",
20076,"NDA",,"DR REDDYS LABS SA",
20079,"NDA",,"AKORN",
20080,"NDA",,"GLAXOSMITHKLINE",
20083,"NDA",,"JANSSEN PHARMS",
20084,"NDA",,"PHARMALUCENCE",
20087,"NDA",,"ORTHO MCNEIL PHARM",
20088,"NDA",,"WYETH PHARMS INC",
20089,"NDA",,"MYLAN PHARMS INC",
20090,"NDA",,"PFIZER",
